English;Norsk
Coat hanger abortions;Kleshenger-aborter
Man meat;Mannebein
;Selv-kannibalisering
Flightless birds;Flyveudyktige fugler
Pictures of boobs;Bilder av pupper
Doing the right thing;Å gjøre det rette
Hunting accidents;Jaktulykker
The violation of our most basic human rights;Grove menneskerettighetsbrudd
Viagra;Viagra
Self-loathing;Selvforaktelse
Spectacular abs;Vaskebrett
An honest cop with nothing left to lose;En ærlig politimann uten noe igjen å tape
Abstinence;Abstinens
A balanced breakfast;En balansert frokost
Concealing a boner;Skjule en ereksjon
Glenn Beck convulsively vomiting as a brood of crab spiders hatches in his brain and erupts from his tear ducts;Kristian Valen som spyr ukontrollert i det edderkoppegg klekker i hjernen hans og spruter ut av tårekanalene
Tweeting;Twitring
Amputees;Amputerte
Being marginalized;Å bli marginalisert
Smegma;Kukost
Laying an egg;Å legge et egg
Cuddling;Kosing
Aaron Burr;Tordenskjold
The Pope;Paven
A bleached asshole;Et bleiket rasshøl
Horse meat;Hestekjøtt
Genital piercings;Piercing av kjønnsorgan
Fingering;Fingring
Elderly Japanese men;Eldre japanske menn
Stranger danger;Ikke snakke med fremmede
Fear itself;Frykten selv
Science;Vitenskapen
Praying the gay away;Kurere homofili med religion
Same-sex ice dancing;Homofilt kunstløp
The terrorists;Terroristene
Making sex at her;Seksuelle fremstøt
German dungeon porn;Tysk fangehull-porno
Bingeing and purging;Helgefyll og oppkast
Ethnic cleansing;Etnisk rensing
Cheating in the Special Olympics;Jukse i Paralympics
Nickelback;Nickelback
Making a pouty face;Andefjes
Chainsaws for hands;Motorsag-hender
The placenta;Morkaken
The profoundly handicapped;Alvorlig handikappede
Tom Cruise;Tom Cruise
Object permanence;Abstrakt forståelse
An icepick lobotomy;Lobotomi med en ishakke
Arnold Schwarzenegger;Arnold Schwarzenegger
Hormone injections;Hormoninjeksjoner
A falcon with a cap on its head;Jaktfalk med hette
Foreskin;Forhud
Dying;Å dø
Stunt doubles;Stuntmenn
Jew-fros;Krølltopp
A really cool hat;En skikkelig kul hatt
Flash flooding;Styrtflom
Flavored condoms;Kondomer med fruktsmak
Dying of disentery;Dø av dysentri
Sexy pillow fights;Sexy putekrig
The Three-Fifths compromise;Jødeparagrafen
A sad handjob;Et melankolsk runk
Men;Menn
Historically black colleges;Folkehøyskoler
Heartwarming orphans;Hjertevarmende barnehjemsbarn
Waterboarding;Vanntortur
The clitoris;Klitoris
Vikings;Vikingene
Friends who eat all the snacks;Venner som spiser alt godteriet
The Underground Railroad;Motstandsbevegelsen
Pretending to care;Late som man bryr seg
A micropenis;En mikropenis
A Gypsy curse;Romfolkets forbannelse
Agriculture;Jordbruk
A clandestine butt scratch;Diskret rompekløing
Sniffing glue;Sniffe lim
Consultants;Konsulenter
My humps;Muggene mine
Geese;Gjess
Being a dick to children;Være en dritt mot unger
Party poopers;Festbremser
Sunshine and rainbows;Solskinn og regnbuer
YOU MUST CONSTRUCT ADDITIONAL PYLONS;Gangnam Style
Mutually-assured destruction;Terrorbalanse
Sexting;Sexting
Eating all of the cookies before the AIDS bake-sale;Spise alle kakene til kakelotteriet
A sausage festival;En pølsefest
Michael Jackson;Michael Jackson
Chivalry;Ridderlighet
Sharing needles;Sprøytedeling
Being rich;Være rik
Muzzy;Max Mekker
Spontaneous human combustion;Spontan selvantennelse
College;Høyskole
Necrophilia;Nekrofili
The Chinese gymnastics team;Det kinesiske gymnastikk-teamet
Global warming;Global oppvarming
Farting and walking away;Prompe og gå sin vei.
Cookie Monster devouring the Eucharist wafers;Kakemonsteret som spiser oblatene fra nattverden
Stifling a giggle at the mention of Hutus and Tutsis;Latteranfall når noen nevner Hutuer og Tutsier
Penis envy;Penismisunnelse
Letting yourself go;Fysisk forfall
White people;Hvite folk
Dick Cheney;Carl I. Hagen
Leaving an awkward voicemail;Legge igjen en pinlig melding på telefonsvareren
Yeast;Gjær
Natural selection;Naturlig utvalg
Masturbation;Onani
Twinkies;Kokosboller
A LAN party;Datatreff (LAN-Party)
A grande sugar-free iced soy caramel macchiato;En stor sukkerfri soyamelk-is-karamell-macchiato
Soiling oneself;Pisse i buksa
A sassy black woman;En feit, morsom dame
Sperm whales;Sperm-hval
Teaching a robot to love;Lære en robot om kjærlighet
Scrubbing under the folds;Vaske under foldene
A drive-by shooting;Gjengdrap
Whipping it out;Slenge den på bordet
Panda sex;Panda-sex
Catapults;Katapulter
Will Smith;Will Smith
Toni Morrison's vagina;Musa til Margit Sandemoe
Five-Dollar Foot-longs;Dobbel Cheeseburger
Land mines;Landminer
A sea of troubles;Et hav av sorger
A zesty breakfast burrito;En smakfull frokostburrito
Christopher Walken;Varg Veum
Friction;Friksjon
Balls;Baller
AIDS;AIDS
The KKK;Nynazistene
Figgy pudding;Blodpudding
Seppuku;Seppuku (Japansk selvmord)
Gandhi;Gandhi
Preteens;Småbarn
The token minority;Kvote-minoritet
Friends with benefits;Pulevenner
Substitute teachers;Vikar-lærere
A thermonuclear detonation;Et atomangrep
